3.33e+1,2.723e-1,8.690e-1
3.34e+1,2.715e-1,8.627e-1
3.35e+1,2.707e-1,8.564e-1
3.36e+1,2.700e-1,8.501e-1
3.37e+1,2.692e-1,8.440e-1
3.38e+1,2.685e-1,8.379e-1
3.39e+1,2.677e-1,8.318e-1
3.40e+1,2.670e-1,8.258e-1
3.41e+1,2.662e-1,8.199e-1
3.42e+1,2.655e-1,8.141e-1
3.43e+1,2.648e-1,8.083e-1
3.44e+1,2.641e-1,8.025e-1
3.45e+1,2.633e-1,7.968e-1
3.46e+1,2.626e-1,7.912e-1
3.47e+1,2.619e-1,7.856e-1
3.48e+1,2.612e-1,7.801e-1
3.49e+1,2.605e-1,7.746e-1
3.50e+1,2.598e-1,7.692e-1
3.51e+1,2.592e-1,7.641e-1
3.52e+1,2.586e-1,7.590e-1
3.53e+1,2.580e-1,7.540e-1
3.54e+1,2.575e-1,7.491e-1
3.55e+1,2.569e-1,7.442e-1
3.56e+1,2.563e-1,7.393e-1
3.57e+1,2.557e-1,7.345e-1
3.58e+1,2.552e-1,7.297e-1
3.59e+1,2.546e-1,7.249e-1
3.60e+1,2.540e-1,7.202e-1
3.61e+1,2.535e-1,7.156e-1
3.62e+1,2.529e-1,7.110e-1
3.63e+1,2.523e-1,7.064e-1
3.64e+1,2.518e-1,7.019e-1
3.65e+1,2.512e-1,6.974e-1
3.66e+1,2.507e-1,6.930e-1
3.67e+1,2.501e-1,6.886e-1
3.68e+1,2.496e-1,6.842e-1
3.69e+1,2.491e-1,6.799e-1
3.70e+1,2.485e-1,6.756e-1
3.71e+1,2.480e-1,6.714e-1
3.72e+1,2.475e-1,6.672e-1
3.73e+1,2.469e-1,6.630e-1
3.74e+1,2.464e-1,6.589e-1
3.75e+1,2.459e-1,6.549e-1
3.76e+1,2.454e-1,6.511e-1
3.77e+1,2.449e-1,6.472e-1
3.78e+1,2.445e-1,6.434e-1
3.79e+1,2.440e-1,6.397e-1
3.80e+1,2.435e-1,6.359e-1
3.81e+1,2.430e-1,6.322e-1
3.82e+1,2.425e-1,6.286e-1
3.83e+1,2.421e-1,6.249e-1
3.84e+1,2.416e-1,6.213e-1
3.85e+1,2.411e-1,6.177e-1
3.86e+1,2.407e-1,6.142e-1
3.87e+1,2.402e-1,6.107e-1
3.88e+1,2.397e-1,6.072e-1
3.89e+1,2.393e-1,6.037e-1
3.90e+1,2.388e-1,6.003e-1
3.91e+1,2.384e-1,5.969e-1
3.92e+1,2.380e-1,5.935e-1
3.93e+1,2.375e-1,5.902e-1
3.94e+1,2.371e-1,5.868e-1
3.95e+1,2.366e-1,5.835e-1
3.96e+1,2.362e-1,5.803e-1
3.97e+1,2.358e-1,5.770e-1
3.98e+1,2.353e-1,5.738e-1
3.99e+1,2.349e-1,5.706e-1
4.00e+1,2.345e-1,5.675e-1
